clues,difficulty,puzzle_count,share_within_clue_count
26,0.00000000,124756,0.38055554
26,1.00000000,10723,0.03270943
26,1.10000000,8136,0.02481804
26,1.20000000,9436,0.02878356
26,1.30000000,9934,0.03030266
26,1.40000000,10149,0.03095850
26,1.50000000,10302,0.03142521
26,1.60000000,10183,0.03106221
26,1.70000000,9957,0.03037282
26,1.80000000,9620,0.02934484
26,1.90000000,9228,0.02814908
26,2.00000000,9065,0.02765186
26,2.10000000,8499,0.02592534
26,2.20000000,7956,0.02426897
26,2.30000000,7607,0.02320438
26,2.40000000,7281,0.02220995
26,2.50000000,6716,0.02048648
26,2.60000000,6180,0.01885146
26,2.70000000,5793,0.01767096
26,2.80000000,5367,0.01637149
26,2.90000000,4925,0.01502321
26,3.00000000,4461,0.01360783
26,3.10000000,4031,0.01229616
26,3.20000000,3699,0.01128342
26,3.30000000,3168,0.00966366
26,3.40000000,2931,0.00894072
26,3.50000000,2592,0.00790663
26,3.60000000,2255,0.00687865
26,3.70000000,1974,0.00602149
26,3.80000000,1789,0.00545716
26,3.90000000,1482,0.00452069
26,4.00000000,1259,0.00384045
26,4.10000000,1135,0.00346220
26,4.20000000,912,0.00278196
26,4.30000000,778,0.00237321
26,4.40000000,635,0.00193700
26,4.50000000,547,0.00166857
26,4.60000000,465,0.00141844
26,4.70000000,374,0.00114085
26,4.80000000,327,0.00099748
26,4.90000000,252,0.00076870
26,5.00000000,212,0.00064668
26,5.10000000,165,0.00050332
26,5.20000000,125,0.00038130
26,5.30000000,91,0.00027759
26,5.40000000,79,0.00024098
26,5.50000000,64,0.00019523
26,5.60000000,53,0.00016167
26,5.70000000,28,0.00008541
26,5.80000000,29,0.00008846
26,5.90000000,25,0.00007626
26,6.00000000,21,0.00006406
26,6.10000000,15,0.00004576
26,6.20000000,9,0.00002745
26,6.30000000,4,0.00001220
26,6.40000000,8,0.00002440
26,6.50000000,3,0.00000915
26,6.60000000,6,0.00001830
26,6.70000000,3,0.00000915
26,6.80000000,1,0.00000305
26,6.90000000,2,0.00000610
26,7.10000000,1,0.00000305
26,7.20000000,1,0.00000305
26,7.30000000,1,0.00000305
26,7.70000000,1,0.00000305
27,0.00000000,20030,0.32713791
27,1.00000000,1961,0.03202783
27,1.10000000,1614,0.02636049
27,1.20000000,1888,0.03083557
27,1.30000000,1998,0.03263213
27,1.40000000,2021,0.03300777
27,1.50000000,2004,0.03273012
27,1.60000000,2050,0.03348141
27,1.70000000,2020,0.03299144
27,1.80000000,2010,0.03282812
27,1.90000000,1840,0.03005161
27,2.00000000,1805,0.02947998
27,2.10000000,1778,0.02903900
27,2.20000000,1682,0.02747109
27,2.30000000,1587,0.02591951
27,2.40000000,1500,0.02449860
27,2.50000000,1413,0.02307768
27,2.60000000,1308,0.02136278
27,2.70000000,1233,0.02013785
27,2.80000000,1149,0.01876592
27,2.90000000,988,0.01613641
27,3.00000000,947,0.01546678
27,3.10000000,867,0.01416019
27,3.20000000,752,0.01228196
27,3.30000000,680,0.01110603
27,3.40000000,602,0.00983210
27,3.50000000,542,0.00885216
27,3.60000000,481,0.00785588
27,3.70000000,386,0.00630431
27,3.80000000,372,0.00607565
27,3.90000000,293,0.00478539
27,4.00000000,243,0.00396877
27,4.10000000,216,0.00352780
27,4.20000000,175,0.00285817
27,4.30000000,141,0.00230287
27,4.40000000,116,0.00189456
27,4.50000000,110,0.00179656
27,4.60000000,92,0.00150258
27,4.70000000,67,0.00109427
27,4.80000000,51,0.00083295
27,4.90000000,51,0.00083295
27,5.00000000,35,0.00057163
27,5.10000000,37,0.00060430
27,5.20000000,17,0.00027765
